City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
150,Kaitangata,-46.2817,169.8464,48.33,76,100,6.62,NZ,2022-03-31 15:49:55,light rain
151,Chokurdakh,70.6333,147.9167,-30.71,100,89,0.98,RU,2022-03-31 15:49:55,overcast clouds
152,Kirovskiy,45.0917,133.5136,29.34,62,97,10.96,RU,2022-03-31 15:49:55,overcast clouds
153,Bilma,18.6853,12.9164,95.47,2,26,7.36,NE,2022-03-31 15:49:56,scattered clouds
154,Shitanjing,39.2342,106.3439,45.34,20,49,10.07,CN,2022-03-31 15:49:56,scattered clouds
155,Meshchovsk,54.3244,35.2808,32.45,100,100,3.42,RU,2022-03-31 15:49:56,light snow
156,Kurumkan,54.3,110.3,12.04,85,77,4.88,RU,2022-03-31 15:49:57,broken clouds
157,Bambous Virieux,-20.3428,57.7575,79.05,73,75,18.41,MU,2022-03-31 15:49:57,light rain
158,Bosaso,11.2842,49.1816,80.35,76,6,7.14,SO,2022-03-31 15:49:27,clear sky
159,Iowa City,41.6611,-91.5302,36.01,85,100,12.66,US,2022-03-31 15:49:57,overcast clouds
160,Cabo San Lucas,22.8909,-109.9124,75.06,56,98,4.7,MX,2022-03-31 15:49:58,overcast clouds
161,Syasstroy,60.1367,32.5691,23.97,86,36,0.07,RU,2022-03-31 15:49:58,scattered clouds
162,Tete,-16.1564,33.5867,89.69,48,40,5.75,MZ,2022-03-31 15:49:58,scattered clouds
163,Provideniya,64.3833,-173.3,19.87,84,100,19.69,RU,2022-03-31 15:49:58,overcast clouds
164,Whitianga,-36.8333,175.7,62.01,88,56,4.29,NZ,2022-03-31 15:49:59,broken clouds
165,Lengshuitan,26.4111,111.5956,54.81,88,100,9.66,CN,2022-03-31 15:49:59,overcast clouds
166,Kasongo-Lunda,-6.4667,16.8167,76.87,87,78,3.18,CD,2022-03-31 15:49:59,moderate rain
167,Adrar,20.5022,-10.0711,86.72,13,100,10.29,MR,2022-03-31 15:50:00,overcast clouds
168,Dokka,60.84,10.0618,35.08,57,100,3.87,NO,2022-03-31 15:50:00,overcast clouds
169,Richards Bay,-28.783,32.0377,77.09,76,7,8.97,ZA,2022-03-31 15:50:01,clear sky
170,Dicabisagan,17.0818,122.4157,76.95,90,24,3.74,PH,2022-03-31 15:50:01,light rain
